From	Entry	Entry Name	Gene Names
P35222	P35222	CTNB1_HUMAN	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
O95977	O95977	S1PR4_HUMAN	S1PR4 EDG6
P41219	P41219	PERI_HUMAN	PRPH NEF4 PRPH1
O75083	O75083	WDR1_HUMAN	WDR1
Q9P1A6	Q9P1A6	DLGP2_HUMAN	DLGAP2 C8orf68 DAP2 ERICH1-AS1
O75899	O75899	GABR2_HUMAN	GABBR2 GPR51 GPRC3B
Q96RT1	Q96RT1	ERBIN_HUMAN	ERBIN ERBB2IP KIAA1225 LAP2
Q96FF7	Q96FF7	MISP3_HUMAN	MISP3
Q96N21	Q96N21	AP4AT_HUMAN	TEPSIN C17orf56 ENTHD2
Q92529	Q92529	SHC3_HUMAN	SHC3 NSHC SHCC
Q9NQZ2	Q9NQZ2	SAS10_HUMAN	UTP3 CRLZ1 SAS10
O43918	O43918	AIRE_HUMAN	AIRE APECED
P62277	P62277	RS13_HUMAN	RPS13
Q9HB20	Q9HB20	PKHA3_HUMAN	PLEKHA3 FAPP1
Q9NQ34	Q9NQ34	TMM9B_HUMAN	TMEM9B C11orf15 UNQ712/PRO1375
P49773	P49773	HINT1_HUMAN	HINT1 HINT PKCI1 PRKCNH1
P45381	P45381	ACY2_HUMAN	ASPA ACY2 ASP
Q00535	Q00535	CDK5_HUMAN	CDK5 CDKN5 PSSALRE
Q9NS87	Q9NS87	KIF15_HUMAN	KIF15 KLP2 KNSL7
O00232	O00232	PSD12_HUMAN	PSMD12
O75912	O75912	DGKI_HUMAN	DGKI
Q8IVL1	Q8IVL1	NAV2_HUMAN	NAV2 HELAD1 KIAA1419 POMFIL2 RAINB1 STEERIN2
O15397	O15397	IPO8_HUMAN	IPO8 RANBP8
Q8N6D5	Q8N6D5	ANR29_HUMAN	ANKRD29
P15880	P15880	RS2_HUMAN	RPS2 RPS4
Q9UBN7	Q9UBN7	HDAC6_HUMAN	HDAC6 KIAA0901 JM21
Q9BX66	Q9BX66	SRBS1_HUMAN	SORBS1 KIAA0894 KIAA1296 SH3D5
O95069	O95069	KCNK2_HUMAN	KCNK2 TREK TREK1
Q96QG7	Q96QG7	MTMR9_HUMAN	MTMR9 C8orf9 MTMR8
O14681	O14681	EI24_HUMAN	EI24 PIG8
O43561	O43561	LAT_HUMAN	LAT
Q13315	Q13315	ATM_HUMAN	ATM
Q9BV23	Q9BV23	ABHD6_HUMAN	ABHD6
Q14184	Q14184	DOC2B_HUMAN	DOC2B DOC2BL
O75808	O75808	CAN15_HUMAN	CAPN15 SOLH
Q8TF76	Q8TF76	HASP_HUMAN	HASPIN GSG2
Q9NX02	Q9NX02	NALP2_HUMAN	NLRP2 NALP2 NBS1 PAN1 PYPAF2
O14519	O14519	CDKA1_HUMAN	CDK2AP1 CDKAP1 DOC1
Q9Y446	Q9Y446	PKP3_HUMAN	PKP3
Q9P227	Q9P227	RHG23_HUMAN	ARHGAP23 KIAA1501
Q99767	Q99767	APBA2_HUMAN	APBA2 MINT2 X11L
Q6P1M0	Q6P1M0	S27A4_HUMAN	SLC27A4 ACSVL4 FATP4
