chr	start	end	gene_id	gene_length
chr1	182944365	182944490	5S_rRNA	125
chr21	8256781	8256933	5_8S_rRNA	152
chr6	52995620	52995950	7SK	330
chr19	58345178	58353492	A1BG	8314
chr19	58347718	58355455	A1BG-AS1	7737
chr10	50799409	50885716	A1CF	86307
chr12	9067664	9116229	A2M	48565
chr12	9065163	9068689	A2M-AS1	3526
chr12	8822621	8887001	A2ML1	64380
chr12	8776219	8830947	A2ML1-AS1	54728
chr12	8819816	8820713	A2ML1-AS2	897
chr12	9229376	9275817	A2MP1	46441
chr1	33306766	33321098	A3GALT2	14332
chr22	42691010	42721298	A4GALT	30288
chr3	138122901	138132390	A4GNT	9489
chr17	33502568	33533763	AA06	31195
chr12	53307456	53324864	AAAS	17408
chr12	125065364	125143333	AACS	77969
chr5	178764861	178818435	AACSP1	53574
chr3	151813931	151828917	AADAC	14986
chr3	151733916	151761339	AADACL2	27423
chr3	151552378	151928178	AADACL2-AS1	375800
chr1	12716110	12728760	AADACL3	12650
chr1	12644085	12667076	AADACL4	22991
chr3	151766699	151784945	AADACP1	18246
chr4	170060219	170091699	AADAT	31480
chr15	67200667	67255195	AAGAB	54528
chr2	69457997	69674349	AAK1	216352
chr11	77821100	77918432	AAMDC	97332
chr2	218264125	218270178	AAMP	6053
chr17	76452749	76470122	AANAT	17373
chr20	36236131	36270918	AAR2	34787
chr8	116938207	116944487	AARD	6280
chr16	70251983	70289707	AARS1	37724
chr4	132592084	132592536	AARS1P1	452
chr6	44298726	44313347	AARS2	14621
chr17	42950431	42964498	AARSD1	14067
chr4	56337994	56387523	AASDH	49529
chr11	106075501	106098708	AASDHPPT	23207
chr11	106085990	106101975	AASDHPPT-AS1	15985
chr7	122064583	122144489	AASS	79906
chr21	43805758	43812567	AATBC	6809
chr17	36948925	37056874	AATF	107949
chr17	81110487	81166223	AATK	55736
chr20	31721507	31723409	ABALON	1902
chr16	8674596	8784575	ABAT	109979
chr9	104781006	104928155	ABCA1	147149
chr17	69147214	69244846	ABCA10	97632
chr4	425435	474129	ABCA11P	48694
chr2	214931542	215138626	ABCA12	207084
chr7	48171458	48647497	ABCA13	476039
chr16	21315911	21339037	ABCA15P	23126
chr16	2339109	2426699	ABCA17P	87590
chr9	137007234	137028915	ABCA2	21681
chr16	2275878	2340749	ABCA3	64871
chr16	21938865	21944958	ABCA3P1	6093
chr1	93992834	94121148	ABCA4	128314
chr17	69244311	69327244	ABCA5	82933
chr17	69074255	69142031	ABCA6	67776
chr19	1039997	1065572	ABCA7	25575
chr17	68866052	68955470	ABCA8	89418
chr17	68974488	69060949	ABCA9	86461
chr17	68944531	69042784	ABCA9-AS1	98253
chr7	87503017	87713375	ABCB1	210358
chr1	229516582	229558957	ABCB10	42375
chr15	23179869	23182049	ABCB10P1	2180
chr15	28402868	28405033	ABCB10P3	2165
chr15	28506625	28508808	ABCB10P4	2183
chr2	168915498	169031324	ABCB11	115826
chr7	87401696	87480435	ABCB4	78739
chr7	20615667	20777038	ABCB5	161371
chr2	219209766	219219012	ABCB6	9246
chr7	151028422	151047782	ABCB8	19360
chr12	122920951	122981649	ABCB9	60698
chr16	15949138	16143257	ABCC1	194119
chr6	43427366	43450430	ABCC10	23064
chr16	48165773	48247568	ABCC11	81795
chr16	48080882	48156018	ABCC12	75136
chr21	14236206	14338017	ABCC13	101811
chr10	99782640	99852594	ABCC2	69954
chr17	50634609	50692631	ABCC3	58022
chr13	95019835	95301822	ABCC4	281987
chr3	183919934	184017939	ABCC5	98005
chr3	184006338	184011419	ABCC5-AS1	5081
chr16	16149565	16223637	ABCC6	74072
chr16	18570871	18598328	ABCC6P1	27457
chr16	14810087	14825208	ABCC6P2	15121
chr11	17392498	17476894	ABCC8	84396
chr12	21797389	21942543	ABCC9	145154
chr10	38601418	38605609	ABCD1P2	4191
chr16	32475051	32478250	ABCD1P3	3199
chr22	16387694	16390887	ABCD1P4	3193
chr2	91840601	91843802	ABCD1P5	3201
chr12	39550033	39619803	ABCD2	69770
chr1	94418242	94518666	ABCD3	100424
chr14	74285269	74303055	ABCD4	17786
chr4	145098248	145129524	ABCE1	31276
chr6	30571393	30597179	ABCF1	25786
chr7	151211484	151227241	ABCF2	15757
chr7	151207837	151227166	ABCF2-H2BK1	19329
chr3	88317156	88319022	ABCF2P1	1866
chr7	72103181	72104209	ABCF2P2	1028
chr3	184186095	184194013	ABCF3	7918
chr21	42199689	42304389	ABCG1	104700
chr4	88090150	88231818	ABCG2	141668
chr11	119149052	119162653	ABCG4	13601
chr2	43812472	43838865	ABCG5	26393
chr2	43831942	43882988	ABCG8	51046
chr2	27123789	27130812	ABHD1	7023
chr3	111978972	111993368	ABHD10	14396
chr7	73736091	73738863	ABHD11	2772
chr20	25294742	25390866	ABHD12	96124
chr14	50872053	50904970	ABHD12B	32917
chr13	108218167	108234243	ABHD13	16076
chr3	51971426	51981197	ABHD14A	9771
chr3	51974706	51989183	ABHD14A-ACY1	14477
chr3	51968510	51983409	ABHD14B	14899
chr17	29560547	29567037	ABHD15	6490
chr17	29560547	29707090	ABHD15-AS1	146543
chr6	31686954	31703356	ABHD16A	16402
chr20	63861498	63862988	ABHD16B	1490
chr19	1876810	1885618	ABHD17A	8808
chr1	148146395	148149566	ABHD17AP1	3171
chr1	214605470	214608840	ABHD17AP3	3370
chr22	20667836	20670984	ABHD17AP4	3148
chr22	22114844	22118005	ABHD17AP5	3161
chr17	20814620	20844257	ABHD17AP6	29637
chr16	32726615	32729537	ABHD17AP7	2922
chr16	32199902	32202822	ABHD17AP8	2920
chr16	33140850	33143797	ABHD17AP9	2947
chr9	71862452	71911224	ABHD17B	48772
chr15	80679684	80755621	ABHD17C	75937
chr4	127965267	128039953	ABHD18	74686
chr15	89087459	89202355	ABHD2	114896
chr18	21650898	21704808	ABHD3	53910
chr14	22598249	22612963	ABHD4	14714
chr3	43690108	43734371	ABHD5	44263
chr3	58237516	58295693	ABHD6	58177
chr19	17292131	17310236	ABHD8	18105
chr10	26745942	26861094	ABI1	115152
chr14	55546674	55548123	ABI1P1	1449
chr2	203328252	203447728	ABI2	119476
chr17	49210411	49223225	ABI3	12814
chr3	100749155	100993515	ABI3BP	244360
chr9	108934400	108950744	ABITRAM	16344
chr13	46270077	46270617	ABITRAMP1	540
chr9	130713043	130887675	ABL1	174632
chr1	179099330	179229684	ABL2	130354
chr10	114431110	114768061	ABLIM1	336951
chr4	7965310	8158832	ABLIM2	193522
chr5	149141483	149260542	ABLIM3	119059
chr9	133233278	133276024	ABO	42746
chr17	1003519	1229738	ABR	226219
chr17	1181627	1191183	ABR-AS1	9556
chr8	106759483	106770244	ABRA	10761
chr6	139027494	139043742	ABRACL	16248
chr4	83459517	83523348	ABRAXAS1	63831
chr3	100910975	100912175	ABRAXAS1P1	1200
chr8	18088569	18089687	ABRAXAS1P2	1118
chr10	124801805	124836670	ABRAXAS2	34865
chr6	26596953	26600739	ABT1	3786
chr4	99022311	99023131	ABT1P1	820
chr3	127672906	127680926	ABTB1	8020
chr11	34150987	34358010	ABTB2	207023
chr12	107318421	107659642	ABTB3	341221
chr3	38103129	38137647	ACAA1	34518
chr18	49782164	49813953	ACAA2	31789
chr17	37084992	37406836	ACACA	321844
chr12	109116587	109268226	ACACB	151639
chr12	111686037	111757125	ACAD10	71088
chr3	132558138	132660104	ACAD11	101966
chr11	134253514	134265855	ACAD8	12341
chr3	128879596	128924003	ACAD9	44407
chr3	128854556	128879590	ACAD9-DT	25034
chr2	210187126	210225447	ACADL	38321
chr1	75724431	75787575	ACADM	63144
chr12	120725774	120740009	ACADS	14235
chr10	123008972	123058290	ACADSB	49318
chr17	7217125	7225269	ACADVL	8144
chr15	88803436	88875353	ACAN	71917
chr17	7332960	7351478	ACAP1	18518
chr3	195274738	195443091	ACAP2	168353
chr3	195280723	195282741	ACAP2-IT1	2018
chr1	1292376	1309609	ACAP3	17233
chr11	108116695	108148957	ACAT1	32262
chr6	159761981	159779821	ACAT2	17840
chr1	226144679	226186762	ACBD3	42083
chr1	226133245	226155071	ACBD3-AS1	21826
chr17	45132600	45144181	ACBD4	11581
chr10	27168135	27243046	ACBD5	74911
chr1	180269653	180502954	ACBD6	233301
chr10	15075475	15088776	ACBD7	13301
chr11	44065916	44084241	ACCS	18325
chr11	44047981	44059977	ACCSL	11996
chr6	7340854	7342056	ACCSLP1	1202
chr16	67657512	67660810	ACD	3298
chr17	63477058	63498380	ACE	21322
chr17	63507056	63519806	ACE3P	12750
chr19	6306142	6333612	ACER1	27470
chr9	19409009	19452505	ACER2	43496
chr2	206410087	206410909	ACER2P1	822
chr11	76860859	77026797	ACER3	165938
chr11	76955417	77035684	ACER3-AS1	80267
chr7	100889994	100897022	ACHE	7028
chr14	23058561	23095614	ACIN1	37053
chr1	159204568	159206500	ACKR1	1932
chr3	42804586	42887974	ACKR2	83388
chr2	236567692	236582358	ACKR3	14666
chr3	132597270	132618967	ACKR4	21697
chr6	138822747	138823799	ACKR4P1	1052
chr17	41866916	41930545	ACLY	63629
chr2	134838312	134902906	ACMSD	64594
chr9	101334084	101339347	ACNATP	5263
chr9	32384603	32454769	ACO1	70166
chr22	41447830	41529273	ACO2	81443
chr22	34589085	34591278	ACO2P1	2193
chr1	236110061	236112370	ACO2P2	2309
chr13	76948511	76958638	ACOD1	10127
chr14	73537143	73543796	ACOT1	6653
chr1	54542257	54639192	ACOT11	96935
chr5	81329862	81394191	ACOT12	64329
chr6	24666921	24705065	ACOT13	38144
chr14	73567620	73575658	ACOT2	8038
chr14	73591873	73595766	ACOT4	3893
chr14	73610945	73619888	ACOT6	8943
chr1	6264268	6393767	ACOT7	129499
chr20	45841709	45857405	ACOT8	15696
chr17	75941507	75979459	ACOX1	37952
chr3	58504544	58537387	ACOX2	32843
chr4	8365885	8440750	ACOX3	74865
chr2	110732524	111118548	ACOXL	386024
chr2	111098345	111116407	ACOXL-AS1	18062
chr2	264140	279100	ACP1	14960
chr11	47238400	47249288	ACP2	10888
chr3	132317369	132368302	ACP3	50933
chr19	50790415	50795219	ACP4	4804
chr19	11574653	11579993	ACP5	5340
chr1	147629652	147670531	ACP6	40879
chr19	39083913	39111497	ACP7	27584
chr22	50738196	50745339	ACR	7143
chr12	6638075	6647433	ACRBP	9358
chr2	113667478	113668621	ACRP1	1143
chr11	125671522	125680874	ACRV1	9352
chr15	78167468	78245688	ACSBG1	78220
chr19	6135247	6193094	ACSBG2	57847
chr17	50426158	50474845	ACSF2	48687
chr16	89088375	89164121	ACSF3	75746
chr4	184755501	184826853	ACSL1	71352
chr2	222860942	222944639	ACSL3	83697
chr2	222917387	222919363	ACSL3-AS1	1976
chr3	133760300	133762363	ACSL3P1	2063
chr10	112372400	112428381	ACSL5	55981
chr5	131949973	132012243	ACSL6	62270
chr5	132003592	132007041	ACSL6-AS1	3449
chr16	20623233	20698890	ACSM1	75657
chr16	20444012	20487669	ACSM2A	43657
chr16	20536226	20576442	ACSM2B	40216
chr16	20610243	20797843	ACSM3	187600
chr12	7304072	7328719	ACSM4	24647
chr16	20409308	20441337	ACSM5	32029
chr16	20586550	20607107	ACSM5P1	20557
chr10	95194200	95228929	ACSM6	34729
chr20	25006230	25058980	ACSS1	52750
chr20	34872146	34927962	ACSS2	55816
chr12	80936414	81261210	ACSS3	324796
chr12	81094371	81125875	ACSS3-AS1	31504
chr1	229430365	229434789	ACTA1	4424
chr10	88934822	88991339	ACTA2	56517
chr10	88932390	88940820	ACTA2-AS1	8430
chr7	5526409	5563902	ACTB	37493
chr5	57480018	57482811	ACTBL2	2793
chr1	223863726	223864851	ACTBP11	1125
chr1	92229018	92229435	ACTBP12	417
chr10	69022778	69023866	ACTBP14	1088
chr22	41074180	41075239	ACTBP15	1059
chr3	180820544	180821612	ACTBP16	1068
chr5	77784881	77786003	ACTBP2	1122
chr5	131659046	131660115	ACTBP4	1069
chr8	84948585	84949674	ACTBP6	1089
chr15	43989061	43990184	ACTBP7	1123
chr6	88275882	88276989	ACTBP8	1107
chr18	62442028	62443126	ACTBP9	1098
chr15	34790107	34795912	ACTC1	5805
chr11	71382456	71423730	ACTE1P	41274
chr17	81509413	81523847	ACTG1	14434
chr3	139493809	139494937	ACTG1P1	1128
chr3	12070195	12071360	ACTG1P12	1165
chr3	99215224	99216266	ACTG1P13	1042
chr9	6834456	6835577	ACTG1P14	1121
chr15	34373541	34374603	ACTG1P15	1062
chr16	50058150	50059231	ACTG1P16	1081
chr15	82710450	82750503	ACTG1P17	40053
chr6	101430411	101431553	ACTG1P18	1142
chr9	100731240	100732355	ACTG1P19	1115
chr1	27325329	27325796	ACTG1P20	467
chr1	77773865	77774864	ACTG1P21	999
chr2	57764954	57766052	ACTG1P22	1098
chr3	175977497	175978570	ACTG1P23	1073
